date,salt,ols,lr
2002-01-01,101.75,213.6467,101.33854633289415
2002-02-01,101.28,212.7726,101.33462286246194
2002-03-01,101.35,211.8985,101.33069939202971
2002-04-01,101.2,211.0244,101.3267759215975
2002-05-01,101.02,210.15030000000002,101.32285245116528
2002-06-01,100.8,209.27620000000002,101.31892898073306
2002-07-01,101.32,208.40210000000002,101.31500551030085
2002-08-01,101.71,207.52800000000002,101.31108203986862
2002-09-01,100.91,206.65390000000002,101.30715856943641
2002-10-01,101.09,205.77980000000002,101.3032350990042
2002-11-01,101.22,204.90570000000002,101.29931162857197
2002-12-01,100.81,204.0316,101.29538815813976
2003-01-01,101.6,203.1575,101.29146468770753
2003-02-01,101.52,202.2834,101.28754121727532
2003-03-01,101.43,201.4093,101.2836177468431
2003-04-01,100.85,200.5352,101.27969427641088
2003-05-01,100.76,199.6611,101.27577080597867
2003-06-01,101.07,198.787,101.27184733554645
2003-07-01,101.11,197.9129,101.26792386511423
2003-08-01,101.62,197.0388,101.26400039468201
2003-09-01,101.52,196.1647,101.26007692424979
2003-10-01,101.31,195.2906,101.25615345381757
2003-11-01,100.78,194.4165,101.25222998338536
2003-12-01,100.53,193.54240000000001,101.24830651295314
2004-01-01,100.58,192.66830000000002,101.24438304252092
2004-02-01,100.35,191.79420000000002,101.2404595720887
2004-03-01,100.43,190.92010000000002,101.23653610165648
2004-04-01,100.53,190.04600000000002,101.23261263122427
2004-05-01,100.74,189.17190000000002,101.22868916079204
2004-06-01,100.26,188.2978,101.22476569035983
2004-07-01,100.27,187.4237,101.22084221992762
2004-08-01,101.11,186.5496,101.21691874949539
2004-09-01,101.13,185.6755,101.21299527906318
2004-10-01,100.99,184.8014,101.20907180863095
2004-11-01,101.08,183.9273,101.20514833819874
2004-12-01,100.83,183.0532,101.20122486776653
2005-01-01,100.96,182.1791,101.1973013973343
2005-02-01,101.11,181.305,101.19337792690209
2005-03-01,101.2,180.4309,101.18945445646987
2005-04-01,100.86,179.5568,101.18553098603765
2005-05-01,100.8,178.6827,101.18160751560544
2005-06-01,100.76,177.8086,101.17768404517321
2005-07-01,100.72,176.9345,101.173760574741
2005-08-01,101.0,176.06040000000002,101.16983710430878
2005-09-01,101.05,175.18630000000002,101.16591363387656
