date,salt
2002-01-01,101.75
2002-02-01,101.28
2002-03-01,101.35
2002-04-01,101.2
2002-05-01,101.02
2002-06-01,100.8
2002-07-01,101.32
2002-08-01,101.71
2002-09-01,100.91
2002-10-01,101.09
2002-11-01,101.22
2002-12-01,100.81
2003-01-01,101.6
2003-02-01,101.52
2003-03-01,101.43
2003-04-01,100.85
2003-05-01,100.76
2003-06-01,101.07
2003-07-01,101.11
2003-08-01,101.62
2003-09-01,101.52
2003-10-01,101.31
2003-11-01,100.78
2003-12-01,100.53
2004-01-01,100.58
2004-02-01,100.35
2004-03-01,100.43
2004-04-01,100.53
2004-05-01,100.74
2004-06-01,100.26
2004-07-01,100.27
2004-08-01,101.11
2004-09-01,101.13
2004-10-01,100.99
2004-11-01,101.08
2004-12-01,100.83
2005-01-01,100.96
2005-02-01,101.11
2005-03-01,101.2
2005-04-01,100.86
2005-05-01,100.8
2005-06-01,100.76
2005-07-01,100.72
2005-08-01,101.0
2005-09-01,101.05
2005-10-01,100.75
2005-11-01,100.6
2005-12-01,100.4
2006-01-01,101.14
2006-02-01,173.12
2006-03-01,83.95
2006-04-01,92.54
2006-05-01,96.1
2006-06-01,98.0
2006-07-01,98.77
2006-08-01,99.83
2006-09-01,99.54
2006-10-01,99.48
2006-11-01,99.71
2006-12-01,99.94
2007-01-01,100.59
2007-02-01,100.74
2007-03-01,100.57
2007-04-01,100.57
2007-05-01,100.5
2007-06-01,100.34
2007-07-01,100.52
2007-08-01,101.45
2007-09-01,101.38
2007-10-01,100.8
2007-11-01,100.37
2007-12-01,100.19
2008-01-01,100.7
2008-02-01,102.06
2008-03-01,101.97
2008-04-01,102.39
2008-05-01,102.42
2008-06-01,101.68
2008-07-01,103.05
2008-08-01,104.71
2008-09-01,102.58
2008-10-01,101.62
2008-11-01,101.15
2008-12-01,101.12
2009-01-01,100.72
2009-02-01,101.9
2009-03-01,101.31
2009-04-01,100.23
2009-05-01,100.05
2009-06-01,100.08
2009-07-01,100.32
2009-08-01,100.34
2009-09-01,100.43
2009-10-01,100.68
2009-11-01,100.31
2009-12-01,100.03
2010-01-01,100.35
2010-02-01,100.08
2010-03-01,100.19
2010-04-01,99.99
2010-05-01,99.96
2010-06-01,99.88
2010-07-01,99.98
2010-08-01,101.51
2010-09-01,100.67
2010-10-01,99.98
2010-11-01,99.98
2010-12-01,100.26
2011-01-01,100.45
2011-02-01,100.28
2011-03-01,100.44
2011-04-01,100.14
2011-05-01,100.16
2011-06-01,100.09
2011-07-01,100.08
2011-08-01,100.23
2011-09-01,100.21
2011-10-01,100.22
2011-11-01,100.52
2011-12-01,102.27
2012-01-01,103.54
2012-02-01,104.53
2012-03-01,102.56
2012-04-01,101.32
2012-05-01,100.63
2012-06-01,100.3
2012-07-01,100.39
2012-08-01,100.89
2012-09-01,100.3
2012-10-01,100.17
2012-11-01,100.28
2012-12-01,100.52
2013-01-01,100.34
2013-02-01,100.46
2013-03-01,100.06
2013-04-01,100.01
2013-05-01,99.74
2013-06-01,99.81
2013-07-01,99.81
2013-08-01,99.65
2013-09-01,100.01
2013-10-01,99.98
2013-11-01,100.15
2013-12-01,100.09
2014-01-01,100.19
2014-02-01,100.06
2014-03-01,100.05
2014-04-01,100.05
2014-05-01,100.1
2014-06-01,100.28
2014-07-01,100.6
2014-08-01,100.62
2014-09-01,100.35
2014-10-01,100.44
2014-11-01,100.32
2014-12-01,101.05
2015-01-01,103.28
2015-02-01,103.0
2015-03-01,101.89
2015-04-01,101.14
2015-05-01,100.71
2015-06-01,100.29
2015-07-01,100.06
2015-08-01,100.13
2015-09-01,99.89
2015-10-01,100.34
2015-11-01,100.21
2015-12-01,100.51
2016-01-01,99.89
2016-02-01,99.91
2016-03-01,100.19
2016-04-01,100.45
2016-05-01,100.44
2016-06-01,100.13
2016-07-01,100.05
2016-08-01,100.12
2016-09-01,100.45
2016-10-01,100.62
2016-11-01,100.23
2016-12-01,99.59
2017-01-01,100.09
2017-02-01,100.05
2017-03-01,99.85
2017-04-01,99.97
2017-05-01,100.01
2017-06-01,100.31
2017-07-01,100.29
2017-08-01,100.09
2017-09-01,100.05
2017-10-01,100.37
2017-11-01,100.15
2017-12-01,100.08
2018-01-01,100.2
2018-02-01,100.42
2018-03-01,100.23
2018-04-01,100.3
2018-05-01,99.99
2018-06-01,99.73
2018-07-01,99.89
2018-08-01,99.97
2018-09-01,100.61
2018-10-01,100.19
2018-11-01,100.66
2018-12-01,100.85
2019-01-01,100.6
2019-02-01,100.46
2019-03-01,100.85
2019-04-01,100.74
2019-05-01,100.47
2019-06-01,100.45
2019-07-01,100.37
2019-08-01,100.17
2019-09-01,100.3
2019-10-01,100.25
2019-11-01,99.83
2019-12-01,100.01
2020-01-01,100.15
2020-02-01,100.16
2020-03-01,101.21
2020-04-01,101.21
2020-05-01,100.77
2020-06-01,101.02
2020-07-01,100.77
2020-08-01,100.23
2020-09-01,99.83
2020-10-01,100.03
2020-11-01,99.97
2020-12-01,99.82
2021-01-01,100.16
2021-02-01,99.48
2021-03-01,100.12
2021-04-01,100.59
2021-05-01,100.31
2021-06-01,100.36
2021-07-01,100.84
2021-08-01,100.99
2021-09-01,100.48
2021-10-01,100.32
2021-11-01,100.59
2021-12-01,100.56
2022-01-01,101.29
2022-02-01,101.18
2022-03-01,114.19
2022-04-01,106.1
2022-05-01,103.31
2022-06-01,100.86
2022-07-01,99.6
2022-08-01,99.17
2022-09-01,99.85
2022-10-01,99.62
2022-11-01,99.66
2022-12-01,99.43
